Skyrim.esm,0x0CEE7C,ArmorCompanionsBoots
Skyrim.esm,0x0CAE15,ArmorCompanionsCuirass
Skyrim.esm,0x0CEE7E,ArmorCompanionsGauntlets
Skyrim.esm,0x04C3D0,ArmorCompanionsHelmet
Skyrim.esm,0x06F398,ArmorBanditBoots
Skyrim.esm,0x06F393,ArmorBanditCuirass
Skyrim.esm,0x10594B,ArmorBanditCuirass1
Skyrim.esm,0x10594D,ArmorBanditCuirass2
Skyrim.esm,0x10594F,ArmorBanditCuirass3
Skyrim.esm,0x06F39B,ArmorBanditGauntlets
Skyrim.esm,0x06F39E,ArmorBanditHelmet
Skyrim.esm,0x013956,ArmorOrcishBoots
Skyrim.esm,0x013957,ArmorOrcishCuirass
Skyrim.esm,0x013958,ArmorOrcishGauntlets
Skyrim.esm,0x013959,ArmorOrcishHelmet
Skyrim.esm,0x0CF7AF,EnchArmorOrcishBootsCarry03
Skyrim.esm,0x0CF7B0,EnchArmorOrcishBootsCarry04
Skyrim.esm,0x0CF7B1,EnchArmorOrcishBootsCarry05
Skyrim.esm,0x0CF7B2,EnchArmorOrcishBootsMuffle
Skyrim.esm,0x0CF7B3,EnchArmorOrcishBootsResistFire03
Skyrim.esm,0x0CF7B4,EnchArmorOrcishBootsResistFire04
Skyrim.esm,0x0CF7B5,EnchArmorOrcishBootsResistFire05
Skyrim.esm,0x0CF7B6,EnchArmorOrcishBootsResistFrost03
Skyrim.esm,0x0CF7B7,EnchArmorOrcishBootsResistFrost04
Skyrim.esm,0x0CF7B8,EnchArmorOrcishBootsResistFrost05
Skyrim.esm,0x0CF7B9,EnchArmorOrcishBootsResistShock03
Skyrim.esm,0x0CF7BA,EnchArmorOrcishBootsResistShock04
Skyrim.esm,0x0CF7BB,EnchArmorOrcishBootsResistShock05
Skyrim.esm,0x10DF95,EnchArmorOrcishBootsStamina03
Skyrim.esm,0x10DF96,EnchArmorOrcishBootsStamina04
Skyrim.esm,0x10DF97,EnchArmorOrcishBootsStamina05
Skyrim.esm,0x10DED4,EnchArmorOrcishCuirassAlteration03
Skyrim.esm,0x10DED5,EnchArmorOrcishCuirassAlteration04
Skyrim.esm,0x10DED6,EnchArmorOrcishCuirassAlteration05
Skyrim.esm,0x10DED7,EnchArmorOrcishCuirassConjuration03
Skyrim.esm,0x10DED8,EnchArmorOrcishCuirassConjuration04
Skyrim.esm,0x10DED9,EnchArmorOrcishCuirassConjuration05
Skyrim.esm,0x10DEDA,EnchArmorOrcishCuirassDestruction03
Skyrim.esm,0x10DEDB,EnchArmorOrcishCuirassDestruction04
Skyrim.esm,0x10DEDC,EnchArmorOrcishCuirassDestruction05
Skyrim.esm,0x0CF7C2,EnchArmorOrcishCuirassHealth03
Skyrim.esm,0x0CF7C3,EnchArmorOrcishCuirassHealth04
Skyrim.esm,0x0CF7C4,EnchArmorOrcishCuirassHealth05
Skyrim.esm,0x0CF7C5,EnchArmorOrcishCuirassHeavyArmor03
